"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en calle Picos de Europa, 4";"San Antón";700;0;1;0;"Intermedios";3;90;"Segunda mano/buen estado";1;0;0;0;0;0;"san anton";NA;90144;9.31842385516507
"Alquiler de Piso en calle Manuel de Falla";"Las Lomas-Las Yucas";600;1;2;0;"Primero";3;140;"Segunda mano/buen estado";0;0;1;0;1;1;"las lomas-las yucas";NA;197911;3.63799889849478
"Alquiler de Piso en avenida Constitución s/n";"Sucina";600;1;2;0;"Intermedios";2;75;"Segunda mano/buen estado";1;1;1;1;0;0;"sucina";NA;156971;4.58683451083321
"Alquiler de Piso en avenida Constitución s/n";"Sucina";580;1;1;0;"Primero";2;75;"Segunda mano/buen estado";1;1;1;1;0;0;"sucina";NA;112055;6.21123555396903
"Alquiler de Piso en calle Papa Juan Pablo II";"Las Delicias";470;1;2;0;"Intermedios";3;98;"Segunda mano/buen estado";1;0;1;1;1;1;"las delicias";NA;176300;3.19909245604084
"Alquiler de Casa de pueblo en Caserio la Risca, 2";"Moratalla";500;0;2;0;"Muchas_plantas";3;150;"Segunda mano/buen estado";0;1;0;0;1;0;"moratalla";"Moratalla";199733;3.00401035382235
"Alquiler de Piso en calle Calvario, 74";"Espinardo";700;1;2;0;"Intermedios";2;71;"Segunda mano/buen estado";1;1;0;0;1;1;"espinardo";NA;181383;4.63108450075255
"Alquiler de Piso en calle Papa Juan Pablo II";"Las Delicias";490;1;1;0;"Intermedios";2;80;"Segunda mano/buen estado";0;1;0;0;1;1;"las delicias";NA;104987;5.60069341918523
"Alquiler de Piso en avenida Sandoval";"Santiago de la Ribera";600;0;1;1;"Otro";2;70;"Segunda mano/buen estado";1;1;1;0;0;1;"santiago de la ribera";NA;125546;5.7349497395377
"Alquiler de Piso en calle Río Taibilla, 11";"Juan de Borbón";900;1;2;1;"Primero";3;105;"Segunda mano/buen estado";1;0;0;1;1;1;"juan de borbon";NA;175253;6.16251932919836
"Alquiler de Piso en calle Carmen";"Casco Antiguo";1200;1;3;0;"Intermedios";4;180;"Segunda mano/buen estado";1;1;1;0;1;0;"casco antiguo";NA;288429;4.99256316112457
"Alquiler de Finca rústica en calle Lugar las Casicas";"Calabardina-Cope";800;0;1;0;"Otro";2;92;"Segunda mano/buen estado";0;1;0;1;1;1;"calabardina-cope";NA;95160;10.0882723833544
"Alquiler de Piso en avenida Monte Carmelo, 16";"Infante Juan Manuel";900;1;2;1;"Intermedios";3;125;"Segunda mano/buen estado";1;1;1;1;1;1;"infante juan manuel";NA;201892;5.34939472589305
"Alquiler de Piso en avenida Marqués de Los Vélez";"Vista Alegre";1225;1;2;0;"Intermedios";5;163;"Segunda mano/buen estado";0;1;0;0;0;0;"vista alegre";NA;176539;8.3267719880593
"Alquiler de Estudio en calle Alfaro";"Santa Catalina-San Bartolomé";500;1;1;0;"Primero";0;40;"Segunda mano/buen estado";1;0;0;0;0;0;"santa catalina-san bartolome";NA;79603;7.53740436918207
"Alquiler de Piso en carretera de Churra";"churra";800;1;1;0;"Intermedios";2;80;"Segunda mano/buen estado";1;0;1;1;1;1;"churra";NA;110319;8.7020368204933
"Alquiler de Piso en calle Trinidad";"Santa Eulalia";800;1;1;0;"Intermedios";3;90;"Segunda mano/buen estado";1;0;0;0;0;0;"santa eulalia";NA;93456;10.2722136620442
"Alquiler de Chalet pareado en calle Mayor";"La Ñora";750;0;2;0;"Muchas_plantas";3;95;"Segunda mano/buen estado";1;0;0;0;0;1;"la nora";NA;183718;4.89881231017102
"Alquiler de Ático en plaza Madagascar, 1";"Hacienda del Álamo Golf";1694;0;2;0;"Primero";2;112;"Segunda mano/buen estado";1;1;0;1;1;1;"hacienda del alamo golf";NA;190634;10.6633654017646
"Alquiler de Estudio en calle Cabo Silleiro, 2 n";"El Alamillo";425;0;1;0;"Otro";0;45;"Segunda mano/buen estado";1;1;1;0;0;0;"el alamillo";NA;101433;5.02794948389577
"Alquiler de Casa o chalet independiente en calle Buenos Aires";"Santiago de la Ribera";1500;0;3;1;"Muchas_plantas";3;146;"Segunda mano/buen estado";1;1;0;0;1;0;"santiago de la ribera";NA;276626;6.50698054412817
"Alquiler de Piso en calle Lepanto";"San Miguel";900;1;2;0;"Intermedios";2;75;"Segunda mano/buen estado";1;0;0;0;0;1;"san miguel";NA;154188;7.0044361428905
"Alquiler de Chalet adosado en camino de Funes, 141";"Rincón de Seca";850;0;1;0;"Muchas_plantas";3;65;"Segunda mano/buen estado";1;0;0;0;1;1;"rincon de seca";NA;127355;8.00910839778572
"Alquiler de Piso en calle Platería";"Santa Catalina-San Bartolomé";850;1;1;0;"Intermedios";2;65;"Segunda mano/buen estado";1;0;0;0;1;1;"santa catalina-san bartolome";NA;105896;9.63209186371534
"Alquiler de Piso en calle Espliego";"Golf Resort";1500;1;2;0;"Intermedios";3;75;"Segunda mano/buen estado";1;1;0;0;1;1;"pliego";"Pliego";184867;9.73672964888271
"Alquiler de Piso en calle Alcalde Juan López Somalo";"El Carmen";1200;1;2;0;"Intermedios";4;105;"Segunda mano/buen estado";1;0;1;0;0;0;"el carmen";NA;172510;8.34734218306185
"Alquiler de Piso en calle Platería";"Catedral";1000;1;1;0;"Primero";1;60;"Segunda mano/buen estado";1;0;0;0;0;1;"catedral";NA;101349;11.8402746943729
"Alquiler de Piso en calle Laredo";"San Nicolás";980;1;2;0;"Primero";3;90;"Segunda mano/buen estado";1;0;0;0;0;1;"san nicolas";NA;174043;6.75695086846354
"Alquiler de Piso en calle Ministro Diego Clemencin";"Vista Alegre";700;1;1;1;"Intermedios";2;60;"Segunda mano/buen estado";1;0;1;0;0;1;"vista alegre";NA;104050;8.07304180682364
"Alquiler de Piso en puerta Nueva";"San Lorenzo";1300;1;2;0;"Ultimos_pisos";4;165;"Segunda mano/buen estado";1;0;0;0;1;1;"san lorenzo";NA;276941;5.6329687550778
"Alquiler de Piso en calle Jabonerías";"Santa Catalina-San Bartolomé";1300;1;2;0;"Intermedios";4;135;"Segunda mano/buen estado";1;0;0;0;0;1;"santa catalina-san bartolome";NA;182139;8.56488725643602
"Alquiler de Piso en paseo Virgen de la Fuensanta";"La Flota";1200;1;2;0;"Intermedios";4;105;"Segunda mano/buen estado";1;1;1;0;0;1;"la flota";NA;200534;7.18082719139896
"Alquiler de Piso en calle Carlos III";"San Miguel";1600;1;2;0;"Ultimos_pisos";2;95;"Segunda mano/buen estado";1;0;0;0;0;1;"san miguel";NA;232365;8.26286230714608
"Alquiler de Piso en avenida Mariano Rojas";"El Ranero-San Basilio";710;1;1;0;"Intermedios";2;55;"Segunda mano/buen estado";1;0;0;0;0;1;"el ranero-san basilio";NA;89270;9.54407975803741
"Alquiler de Piso en plaza Iglesia";"Guadalupe";750;1;2;0;"Intermedios";2;95;"Segunda mano/buen estado";1;1;1;0;0;1;"guadalupe";NA;192759;4.66904269061367
"Alquiler de Casa o chalet en calle San Francisco";"Algezares";600;0;1;0;"Muchas_plantas";3;53;"Segunda mano/buen estado";1;0;0;0;0;0;"algezares";NA;98116;7.33825268050063
"Alquiler de Piso en calle Alcalde Juan López Somalo";"El Carmen";1000;1;1;0;"Intermedios";4;105;"Segunda mano/buen estado";1;0;1;0;0;1;"el carmen";NA;127468;9.41412746728591
"Alquiler de Piso en calle Carmen la Roja";"Espinardo";1000;0;1;0;"Intermedios";4;105;"Segunda mano/buen estado";0;0;0;0;1;0;"espinardo";NA;87478;13.7177347447358
"Alquiler de Chalet adosado en calle Pintor Sobejano";"Los Narejos-Punta Calera";850;0;2;0;"Muchas_plantas";4;120;"Segunda mano/buen estado";0;1;0;0;0;0;"los narejos-punta calera";NA;176908;5.76570872996134
"Alquiler de Piso en calle San Antonio, 18 -24";"La Unión";600;1;1;0;"Bajo";2;63;"Segunda mano/buen estado";1;1;0;1;1;0;"la union";"La Unión";82758;8.70006525048938
"Alquiler de Casa rural en Lugar los Infiernos";"Balsicas";1500;0;2;0;"Primero";4;130;"Segunda mano/buen estado";0;1;0;1;1;1;"balsicas";NA;178458;10.0864068856538
"Alquiler de Piso en calle Ayllón";"San Miguel";1150;1;2;0;"Ultimos_pisos";4;118;"Segunda mano/buen estado";1;0;1;0;0;1;"san miguel";NA;259668;5.31447848791534
"Alquiler de Chalet adosado en calle cabo huertas";"Santiago de la Ribera";550;0;2;0;"Muchas_plantas";3;120;"Segunda mano/buen estado";1;1;1;0;1;1;"santiago de la ribera";NA;236897;2.78602092892692
"Alquiler de Piso en Alcala de henares";"Santiago de la Ribera";1200;0;1;0;"Bajo";3;130;"Segunda mano/buen estado";1;1;0;0;1;0;"santiago de la ribera";NA;124263;11.5883247628015
"Alquiler de Piso en calle san juan";"Espinardo";975;1;2;0;"Primero";3;95;"Segunda mano/buen estado";1;0;0;0;0;1;"espinardo";NA;176060;6.64546177439509
"Alquiler de Piso en Churra";"churra";950;1;2;1;"Primero";3;110;"Segunda mano/buen estado";1;1;1;1;1;1;"churra";NA;207772;5.4867835897041
"Alquiler de Piso en La Fama";"la fama";750;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";0;0;1;1;1;0;"la fama";NA;142121;6.33263205296895
"Alquiler de Piso en Serrano s/n";"Roche";600;0;1;0;"Bajo";2;99;"Segunda mano/buen estado";1;1;0;1;0;1;"roche";NA;93188;7.72631669313645
"Alquiler de Piso en calle Padre Cabrera";"Javalí Viejo";750;1;2;0;"Intermedios";3;95;"Segunda mano/buen estado";1;1;1;0;1;1;"javali viejo";NA;207220;4.34321011485378
"Alquiler de Piso en calle Asunción";"Espinardo";750;0;2;0;"Intermedios";3;116;"Segunda mano/buen estado";0;0;1;0;1;0;"espinardo";NA;161177;5.58392326448563
"Alquiler de Piso en calle Pintor Joaquín";"San Antón";800;0;1;0;"Intermedios";3;90;"Segunda mano/buen estado";0;0;1;0;0;1;"san anton";NA;93054;10.3165903668837
"Alquiler de Piso en paseo Siena";"El Plan-Polígono de Santa Ana";800;1;2;0;"Primero";4;151;"Segunda mano/buen estado";1;1;1;1;0;1;"el plan-poligono de santa ana";NA;215116;4.46270849216237
"Alquiler de Piso en calle Azucaque, 6";"Catedral";900;1;2;0;"Intermedios";3;137;"Segunda mano/buen estado";1;0;0;0;1;1;"catedral";NA;193666;5.57661127921267
"Alquiler de Chalet adosado en calle Tucumán";"Santiago de la Ribera";830;0;2;0;"Muchas_plantas";5;150;"Segunda mano/buen estado";1;1;1;0;1;0;"santiago de la ribera";NA;240936;4.1338778762825
"Alquiler de Piso en calle Mayor, 105";"Garres y Lages";750;0;1;1;"Intermedios";3;120;"Segunda mano/buen estado";0;1;1;0;0;1;"garres y lages";NA;119856;7.50901081297557
"Alquiler de Chalet adosado en calle los Arrecifes";"Los Alcázares";900;0;2;0;"Muchas_plantas";3;100;"Segunda mano/buen estado";1;1;1;0;0;1;"los alcazares";"Los Alcázares";216236;4.99454299931556
"Alquiler de Ático en almirante mendizabal y cortazar";"San Pedro del Pinatar";600;1;2;0;"Primero";2;100;"Segunda mano/buen estado";1;1;1;0;1;1;"san pedro del pinatar";"San Pedro del Pinatar";219299;3.28318870583085
"Alquiler de Piso en Cabo de Palos";"cabo de palos";1000;0;2;0;"Bajo";2;95;"Segunda mano/buen estado";1;1;0;1;1;1;"cabo de palos";NA;161013;7.4528143690261
"Alquiler de Piso en Las Lomas-Las Yucas";"Águilas";500;1;1;0;"Primero";2;75;"Segunda mano/buen estado";1;1;1;0;1;1;"las lomas-las yucas";NA;152363;3.93796394137684
"Alquiler de Chalet adosado en alcala de henares";"Santiago de la Ribera";900;0;3;1;"Muchas_plantas";4;200;"Segunda mano/buen estado";1;1;1;1;1;1;"santiago de la ribera";NA;310463;3.47867539771245
"Alquiler de Piso en avenida del Mar";"Roda";650;1;2;0;"Primero";2;75;"Segunda mano/buen estado";1;1;0;1;0;1;"roda";NA;166426;4.68676769254804
"Alquiler de Piso en calle José Fontes";"Los Alcázares";650;1;1;0;"Primero";2;80;"Segunda mano/buen estado";1;0;0;0;0;1;"los alcazares";"Los Alcázares";111290;7.00871596729266
"Alquiler de Piso en Capitanes Ripoll";"San Ginés-Virgen de la Caridad";750;1;1;0;"Ultimos_pisos";3;90;"Segunda mano/buen estado";0;0;1;0;0;0;"san gines-virgen de la caridad";NA;154666;5.81899059909741
"Alquiler de Finca rústica en Cs San Felix";"Hondón-Torreciega";1000;0;1;1;"Primero";4;90;"Segunda mano/buen estado";0;0;0;0;0;0;"hondon-torreciega";NA;79246;15.142720137294
"Alquiler de Finca rústica en Roldán";"Torre-Pacheco";1000;0;2;0;"Muchas_plantas";4;160;"Segunda mano/buen estado";0;1;0;1;1;0;"torre-pacheco";"Torre-Pacheco";189727;6.32487732373358
"Alquiler de Piso en San Ginés-Virgen de la Caridad";"san ginés-virgen de la caridad";840;1;2;0;"Primero";4;136;"Segunda mano/buen estado";1;1;1;0;1;0;"san gines-virgen de la caridad";NA;225759;4.46493827488605
"Alquiler de Piso en calle Ángel Bruna";"Ensanche";675;1;1;0;"Intermedios";2;68;"Segunda mano/buen estado";0;0;1;0;0;0;"ensanche";NA;73812;10.9738253942448
"Alquiler de Piso en San Miguel";"san miguel";1400;1;2;0;"Primero";4;114;"Segunda mano/buen estado";1;0;0;0;1;1;"san miguel";NA;198187;8.47684257796929
"Alquiler de Piso en calle Mayor";"Alcantarilla";700;1;2;0;"Intermedios";4;105;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";180995;4.64101218265698
"Alquiler de Piso en Alameda";"alameda";1500;1;2;0;"Ultimos_pisos";4;174;"Segunda mano/buen estado";1;0;1;0;1;1;"alameda";NA;294855;6.10469552831053
"Alquiler de Piso en calle Joaquín Costa";"San Juan";900;1;2;0;"Primero";2;95;"Segunda mano/buen estado";0;1;1;0;1;1;"san juan";NA;194102;5.56408486259802
"Alquiler de Piso en avenida Premios Principe de Asturias";"Roldán";804;0;1;0;"Intermedios";2;68;"Segunda mano/buen estado";0;1;0;1;1;1;"roldan";NA;80921;11.9227394619444
"Alquiler de Piso en San Juan";"san juan";1200;1;2;0;"Primero";4;121;"Segunda mano/buen estado";0;0;1;0;1;1;"san juan";NA;192115;7.49551050152253
"Alquiler de Piso en calle Asdrúbal, 30205 Cartagena (Murcia), España";"Alameda";1200;1;2;0;"Ultimos_pisos";4;122;"Segunda mano/buen estado";1;0;0;0;0;0;"alameda";"Region from Substring Match";235193;6.12263120075853
"Alquiler de Casa o chalet independiente en Altorreal-El Chorrico";"Romeral";1400;0;3;1;"Muchas_plantas";4;180;"Segunda mano/buen estado";1;1;0;1;1;1;"altorreal-el chorrico";NA;288110;5.83110617472493
"Alquiler de Ático en calle Picos de Europa, 4";"San Antón";1200;0;1;0;"Intermedios";4;80;"Segunda mano/buen estado";0;0;0;0;1;1;"san anton";NA;89196;16.1442217139782
"Alquiler de Casa o chalet independiente en Los Martínez del Puerto";"los martínez del puerto";990;0;2;0;"Primero";3;110;"Segunda mano/buen estado";0;1;0;0;0;1;"los martinez del puerto";NA;171839;6.91344805311949
"Alquiler de Casa o chalet en carretera de Cabo de Palos, 16";"cabo de palos";900;0;2;0;"Muchas_plantas";4;170;"Segunda mano/buen estado";0;0;0;0;0;0;"cabo de palos";NA;180865;5.9713045641777
"Alquiler de Casa o chalet independiente en Sangonera la Seca";"sangonera la seca";1500;0;2;1;"Primero";3;170;"Segunda mano/buen estado";1;1;1;1;1;1;"sangonera la seca";NA;228670;7.87160537018411
"Alquiler de Piso en calle Luisa Aledo";"Santa Eulalia";900;0;1;0;"Primero";3;83;"Segunda mano/buen estado";1;1;0;0;1;1;"santa eulalia";"Region from Substring Match";139867;7.72162125447747
"Alquiler de Piso en San Nicolás";"san nicolás";1250;1;2;1;"Intermedios";4;180;"Segunda mano/buen estado";1;0;0;0;1;1;"san nicolas";NA;211366;7.09669483265994
"Alquiler de Casa o chalet independiente en Partida Somaida, 6";"Fortuna";860;0;2;1;"Muchas_plantas";4;177;"Segunda mano/buen estado";0;1;0;1;1;1;"fortuna";"Fortuna";206872;4.98859197958158
"Alquiler de Piso en San Nicolás";"san nicolás";1000;1;2;0;"Intermedios";4;110;"Segunda mano/buen estado";0;1;1;0;1;0;"san nicolas";NA;180156;6.6608938919603
"Alquiler de Piso en avenida del Golf";"Altorreal-El Chorrico";700;1;2;1;"Primero";2;110;"Segunda mano/buen estado";1;1;1;1;1;1;"altorreal-el chorrico";NA;205901;4.07963050203739
"Alquiler de Piso en avenida Príncipe de Asturias";"Juan de Borbón";710;1;1;0;"Primero";1;50;"Segunda mano/buen estado";1;0;0;1;0;1;"juan de borbon";NA;81402;10.4665733028673
"Alquiler de Piso en Las Lomas-Las Yucas";"Águilas";700;1;2;0;"Otro";4;140;"Segunda mano/buen estado";0;0;0;0;0;1;"las lomas-las yucas";NA;165532;5.07454751951284
"Alquiler de Piso en calle Santa Catalina";"Santa Catalina-San Bartolomé";800;1;1;0;"Intermedios";2;85;"Segunda mano/buen estado";1;0;0;0;0;1;"santa catalina-san bartolome";NA;101375;9.46979038224414
"Alquiler de Piso en calle Pintor Sobejano, 13";"San Andrés-San Antolín";790;1;2;0;"Ultimos_pisos";3;64;"Segunda mano/buen estado";0;0;1;0;0;0;"san andres-san antolin";NA;201023;4.71587828258458
"Alquiler de Dúplex en carril Iglesia";"Juan de Borbón";920;1;1;0;"Ultimos_pisos";2;80;"Segunda mano/buen estado";1;1;0;0;0;1;"juan de borbon";NA;185683;5.94561699240103
"Alquiler de Piso en Archena";"archena";600;1;2;0;"Intermedios";3;121;"Segunda mano/buen estado";0;0;1;1;0;0;"archena";"Archena";138004;5.21724007999768
"Alquiler de Piso en calle Platería";"Santa Catalina-San Bartolomé";950;1;1;0;"Intermedios";1;65;"Segunda mano/buen estado";1;1;0;0;0;1;"santa catalina-san bartolome";NA;107653;10.5895794822253
"Alquiler de Piso en Guadalupe";"guadalupe";1500;0;2;0;"Primero";5;112;"Segunda mano/buen estado";0;0;0;0;1;1;"guadalupe";NA;172759;10.4191388002941
"Alquiler de Piso en calle Isabel la Católica";"San Juan";650;1;1;0;"Intermedios";1;72;"Segunda mano/buen estado";0;1;1;0;1;1;"san juan";NA;114171;6.83185747694248
"Alquiler de Piso en paseo de los Rosales";"Las Lomas-Las Yucas";550;0;1;0;"Bajo";2;150;"Segunda mano/buen estado";0;0;0;0;1;1;"las lomas-las yucas";NA;102871;6.41580231552138
"Alquiler de Piso en avenida Pintor Portela";"San Ginés-Virgen de la Caridad";700;1;1;0;"Intermedios";3;85;"Segunda mano/buen estado";1;0;0;0;1;0;"san gines-virgen de la caridad";NA;104029;8.07467148583568
"Alquiler de Casa o chalet en calle Menéndez y Pelayo";"Portmán";550;0;1;1;"Muchas_plantas";2;95;"Segunda mano/buen estado";1;0;0;0;0;0;"portman";NA;111673;5.91011256078014
"Alquiler de Piso en calle Arquitecto Emilio Perez Piñero";"Vista Alegre";1200;1;2;0;"Ultimos_pisos";4;168;"Segunda mano/buen estado";0;1;1;0;1;1;"vista alegre";NA;285473;5.04425987746652
"Alquiler de Piso en calle Atlántico, 48";"Sucina";1180;1;1;1;"Primero";2;97;"Segunda mano/buen estado";1;1;1;0;1;1;"sucina";NA;159720;8.86551465063862
"Alquiler de Piso en Gonzalez Adalid";"Catedral";800;1;1;0;"Intermedios";1;94;"Segunda mano/buen estado";1;0;0;0;1;1;"catedral";NA;115727;8.29538482808679
"Alquiler de Casa o chalet independiente en calle Monte San Leandro";"Canteras";1250;0;2;0;"Primero";4;140;"Segunda mano/buen estado";1;0;0;1;1;1;"canteras";NA;189454;7.91748920582305
"Alquiler de Piso en calle San José";"San Juan";1200;1;1;0;"Intermedios";4;125;"Segunda mano/buen estado";1;0;0;0;1;1;"san juan";NA;133846;10.7586330559001
"Alquiler de Chalet adosado en San Javier";"San Javier";1000;0;2;0;"Muchas_plantas";4;200;"Segunda mano/buen estado";0;0;0;0;0;0;"san javier";"San Javier";192970;6.21858319946106
"Alquiler de Piso en avenida Juan Carlos I";"Juan Carlos I";850;1;2;1;"Ultimos_pisos";2;65;"Segunda mano/buen estado";1;0;1;1;0;1;"juan carlos i";NA;217110;4.69807931463313
"Alquiler de Piso en calle Moncayo";"Santa María de Gracia";1350;1;2;0;"Intermedios";4;100;"Segunda mano/buen estado";1;0;1;0;0;0;"santa maria de gracia";NA;170492;9.50191211317833
"Alquiler de Piso en Playa de las Gaviotas-El Pedrucho";"del";550;1;1;1;"Otro";1;65;"Segunda mano/buen estado";1;0;0;0;0;1;"playa de las gaviotas-el pedrucho";NA;94470;6.98634487138774
"Alquiler de Piso en Santa Eulalia";"santa eulalia";980;1;2;0;"Primero";4;145;"Segunda mano/buen estado";1;0;1;0;1;1;"santa eulalia";NA;224979;5.22715453442321
"Alquiler de Piso en Sierra del Oro s/n";"La Ñora";900;1;2;1;"Primero";3;115;"Segunda mano/buen estado";1;1;1;1;1;0;"la nora";NA;197983;5.45501381431739
"Alquiler de Piso en paseo Alfonso XIII";"Alameda";1200;1;2;0;"Primero";3;100;"Segunda mano/buen estado";1;0;0;1;1;0;"alameda";NA;162950;8.83706658484198
"Alquiler de Chalet adosado en calle Profesor D.Bienvenido Conejero Requiel";"Los Alcázares";1400;0;2;0;"Muchas_plantas";5;150;"Segunda mano/buen estado";1;1;0;0;0;1;"los alcazares";"Los Alcázares";225869;7.43793969070567
"Alquiler de Piso en calle Juan Fernandez";"Casco Antiguo";750;1;2;0;"Intermedios";3;96;"Segunda mano/buen estado";0;0;1;0;1;1;"casco antiguo";NA;168225;5.34997770842622
"Alquiler de Dúplex en calle Ermita";"Guadalupe";1100;1;3;1;"Bajo";4;145;"Segunda mano/buen estado";1;1;1;1;0;1;"guadalupe";NA;245260;5.38204354562505
"Alquiler de Ático en calle Cotopaxi, 27";"Calabardina-Cope";500;0;2;0;"Intermedios";2;100;"Segunda mano/buen estado";1;1;0;1;0;0;"calabardina-cope";NA;149464;4.01434459133972
"Alquiler de Piso en avenida de la contitución";"San Miguel";1000;1;2;0;"Ultimos_pisos";3;99;"Segunda mano/buen estado";1;1;0;0;0;0;"san miguel";NA;240261;4.99456840685754
"Alquiler de Estudio en Espinardo";"espinardo";450;1;1;1;"Primero";0;25;"Segunda mano/buen estado";1;0;1;1;1;1;"espinardo";NA;94797;5.69638279692395
"Alquiler de Piso en plaza Santa Catalina";"Santa Catalina-San Bartolomé";1450;1;2;0;"Intermedios";3;160;"Segunda mano/buen estado";1;1;1;0;1;1;"santa catalina-san bartolome";NA;233448;7.45348000411226
"Alquiler de Piso en calle Ángel Romero Elorriaga, 3 n";"Vistabella";1000;0;2;0;"Intermedios";5;130;"Segunda mano/buen estado";0;0;0;0;1;1;"vistabella";NA;168090;7.13903266107442
"Alquiler de Estudio en calle Apóstoles";"San Juan";600;1;1;0;"Otro";0;35;"Segunda mano/buen estado";1;0;0;0;0;1;"san juan";NA;82016;8.77877487319548
"Alquiler de Piso en calle Matadero";"San Pío X";850;1;2;0;"Ultimos_pisos";3;95;"Segunda mano/buen estado";1;1;0;1;0;1;"san pio x";NA;234542;4.34890126288682
"Alquiler de Piso en calle Romero, 1";"Cabo de Palos";650;1;1;1;"Primero";2;65;"Segunda mano/buen estado";1;1;0;1;0;1;"cabo de palos";NA;104023;7.49834171289042
"Alquiler de Piso en calle Juan de la Cueva, 16";"San Ginés-Virgen de la Caridad";550;1;1;0;"Primero";2;110;"Segunda mano/buen estado";0;0;1;0;0;0;"san gines-virgen de la caridad";NA;102691;6.42704813469535
"Alquiler de Piso en Urbanización Isla Grosa, 1";"Playa de las Gaviotas-El Pedrucho";750;1;1;0;"Ultimos_pisos";1;60;"Segunda mano/buen estado";1;1;1;0;0;0;"playa de las gaviotas-el pedrucho";NA;178219;5.04996661410961
"Alquiler de Ático en avenida del Mar, 47";"Roda";640;1;2;0;"Intermedios";2;75;"Segunda mano/buen estado";1;1;0;1;0;1;"roda";NA;154495;4.9710346613159
"Alquiler de Chalet pareado en calle f";"Sangonera la Verde";800;0;2;1;"Muchas_plantas";3;140;"Segunda mano/buen estado";1;1;1;1;1;1;"sangonera la verde";NA;227534;4.21914966554449
"Alquiler de Piso en calle Cala Reona, 46";"Cabo de Palos";650;1;1;0;"Intermedios";2;70;"Segunda mano/buen estado";1;1;1;1;1;1;"cabo de palos";NA;122502;6.36724298378802
"Alquiler de Ático en avenida Julietta Orbaiceta, 29";"Playa Honda-Playa Paraíso";600;1;1;0;"Ultimos_pisos";0;84;"Segunda mano/buen estado";1;1;1;1;1;1;"playa honda-playa paraiso";NA;194518;3.70145693457675
"Alquiler de Piso en calle Pico de la Panocha";"Santa María de Gracia";1100;1;1;0;"Primero";3;100;"Segunda mano/buen estado";1;0;0;0;0;1;"santa maria de gracia";NA;121230;10.8883939618906
"Alquiler de Casa o chalet en calle Rio Taibilla";"Los Narejos-Punta Calera";550;0;1;1;"Muchas_plantas";2;48;"Segunda mano/buen estado";1;1;1;1;0;1;"los narejos-punta calera";NA;119103;5.54142213042493
"Alquiler de Piso en avenida Gran Via de la Manga, 64";"Playa del Galán";800;1;1;0;"Ultimos_pisos";1;46;"Segunda mano/buen estado";1;1;0;1;0;0;"playa del galan";NA;142375;6.74275680421422
"Alquiler de Casa o chalet independiente en calle Soto Bernal, 4";"Calabardina-Cope";600;0;1;0;"Primero";2;120;"Segunda mano/buen estado";1;1;1;1;1;1;"calabardina-cope";NA;151297;4.75885179481417
"Alquiler de Estudio en calle Santa Catalina";"Santa Catalina-San Bartolomé";680;1;1;1;"Primero";0;55;"Segunda mano/buen estado";1;0;1;0;0;1;"santa catalina-san bartolome";NA;110224;7.40310640150965
"Alquiler de Dúplex en calle Santiago, 23";"La Alberca";800;1;2;1;"Intermedios";3;115;"Segunda mano/buen estado";1;0;1;1;0;1;"la alberca";NA;169049;5.67882684902011
"Alquiler de Piso en calle Pintor Salvador Dalí";"La Flota";1000;1;2;0;"Intermedios";4;114;"Segunda mano/buen estado";1;0;1;0;1;1;"la flota";NA;200538;5.98390330012267
"Alquiler de Piso en calle Trapería";"Catedral";1500;1;2;0;"Intermedios";3;110;"Segunda mano/buen estado";1;0;0;0;0;0;"catedral";NA;158375;11.3654301499605
"Alquiler de Piso en travesía Delicias";"Santa Lucía";975;0;1;0;"Intermedios";4;90;"Segunda mano/buen estado";0;0;0;0;1;1;"santa lucia";NA;93232;12.5493392826497
"Alquiler de Piso en avenida Juan Carlos I, 23";"Santa María de Gracia";650;1;1;0;"Intermedios";1;67;"Segunda mano/buen estado";1;0;1;1;0;1;"santa maria de gracia";NA;90613;8.60803637447165
"Alquiler de Piso en carril de la Condesa, 62";"Ronda Sur";770;1;2;0;"Primero";2;96;"Segunda mano/buen estado";1;0;1;1;0;1;"ronda sur";NA;172964;5.34215212414144
"Alquiler de Casa o chalet en calle la Haya";"Los Narejos-Punta Calera";880;0;1;1;"Muchas_plantas";2;82;"Segunda mano/buen estado";1;0;0;0;0;0;"los narejos-punta calera";NA;106427;9.9222941546788
"Alquiler de Piso en calle de Severo Ochoa";"La Ñora";990;0;1;0;"Bajo";3;100;"Segunda mano/buen estado";0;1;0;0;1;1;"la nora";NA;100784;11.7875853310049
"Alquiler de Chalet pareado en Paraje la maneta s/n";"Yecla";550;0;1;0;"Primero";1;50;"Segunda mano/buen estado";0;0;0;0;1;1;"yecla";"Yecla";83413;7.91243571145985
"Alquiler de Piso en avenida de Madrid";"Centro";630;1;2;0;"Intermedios";4;116;"Segunda mano/buen estado";0;0;0;0;0;1;"centro";NA;151293;4.99692649362495
