"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en calle Emperador";"Roldán";570;1;1;0;"Intermedios";2;80;"Segunda mano/buen estado";1;1;0;1;0;1;"roldan";NA;99664;6.86305988120083
"Alquiler de Piso en travesía Jacinto Benavente";"San Ginés-Virgen de la Caridad";850;0;1;0;"Intermedios";3;90;"Segunda mano/buen estado";0;0;0;0;1;0;"san gines-virgen de la caridad";NA;79555;12.821318584627
"Alquiler de Piso en calle Aire";"Las Delicias";800;1;2;0;"Bajo";3;155;"Segunda mano/buen estado";1;1;0;0;1;1;"las delicias";NA;206317;4.65303392352545
"Alquiler de Piso en calle San Fernando";"Casco Antiguo";880;1;1;0;"Intermedios";4;121;"Segunda mano/buen estado";0;1;1;0;1;0;"casco antiguo";NA;127747;8.2663389355523
"Alquiler de Piso en carretera de Churra, 104";"churra";1400;1;2;1;"Ultimos_pisos";3;107;"Segunda mano/buen estado";1;1;1;1;1;1;"churra";NA;264736;6.34594463918772
"Alquiler de Piso en calle Vargas Machuca";"Los Dolores-Los Gabatos";1100;1;2;0;"Primero";4;140;"Segunda mano/buen estado";1;1;1;1;1;1;"los dolores-los gabatos";NA;223267;5.91220377395674
"Alquiler de Piso en avenida Constitución s/n";"Sucina";600;1;2;0;"Intermedios";2;75;"Segunda mano/buen estado";1;1;1;1;0;0;"sucina";NA;156971;4.58683451083321
"Alquiler de Dúplex en calle Acacia, 31";"Corvera";695;1;2;0;"Intermedios";2;78;"Segunda mano/buen estado";1;1;0;1;1;1;"corvera";NA;168296;4.95555449921567
"Alquiler de Piso en ronda Norte, 5";"San Antón";1050;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;1;0;0;1;1;"san anton";NA;194955;6.46302992998384
"Alquiler de Estudio en avenida jeronimos";"Guadalupe";600;1;1;0;"Intermedios";0;32;"Segunda mano/buen estado";0;0;0;0;0;1;"guadalupe";NA;53070;13.5669869983041
