"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Casa o chalet en venta en calle San Mateo";"Alcantarilla";115000;0;2;1;"Muchas_plantas";4;192;"Segunda mano/buen estado";0;1;0;0;0;1;"alcantarilla";"Alcantarilla";993;10.3617391304348
"Piso en venta en calle Mayor";"Alcantarilla";110000;1;1;1;"Intermedios";2;80;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";715;7.8
"Piso en venta en plaza Campoamor";"Alcantarilla";360000;1;2;1;"Intermedios";4;240;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";1021;3.40333333333333
"Piso en venta en plaza de las Flores";"Alcantarilla";108500;1;1;1;"Primero";3;105;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";789;8.72626728110599
"Piso en venta en calle Mayor";"Alcantarilla";168000;1;2;1;"Ultimos_pisos";4;225;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";1040;7.42857142857143
"Casa o chalet en venta en calle Mayor";"Alcantarilla";165000;0;1;0;"Muchas_plantas";4;160;"Segunda mano/para reformar";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";897;6.52363636363636
"Piso en venta en avenida de Murcia";"Alcantarilla";130000;0;2;1;"Bajo";4;212;"Segunda mano/buen estado";1;1;1;0;1;1;"alcantarilla";"Alcantarilla";1031;9.51692307692308
"Piso en venta en plaza de las Flores, 3";"Alcantarilla";118000;1;2;1;"Intermedios";4;122;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";930;9.45762711864407
"Dúplex en venta en calle Progreso";"Alcantarilla";230000;0;2;1;"Bajo";3;210;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";927;4.83652173913043
"Piso en venta en plaza de las Flores";"Alcantarilla";115000;1;1;1;"Primero";3;95;"Segunda mano/buen estado";1;0;0;1;0;1;"alcantarilla";"Alcantarilla";731;7.62782608695652
"Piso en venta en calle Buenos Aires, 4";"Alcantarilla";44500;0;1;0;"Bajo";1;52;"Segunda mano/buen estado";0;0;0;0;1;0;"alcantarilla";"Alcantarilla";647;17.447191011236
"Piso en venta en plaza de Cascales";"Alcantarilla";108000;1;2;1;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;0;1;1;"alcantarilla";"Alcantarilla";861;9.56666666666667
"Casa o chalet independiente en venta en calle Mayor";"Alcantarilla";250000;0;3;1;"Primero";4;285;"Segunda mano/buen estado";1;1;0;0;1;1;"alcantarilla";"Alcantarilla";1147;5.5056
"Piso en venta en Alcantarilla";"alcantarilla";76500;0;1;0;"Bajo";2;101;"Segunda mano/buen estado";0;0;0;1;1;1;"alcantarilla";"Alcantarilla";735;11.5294117647059
"Ático en venta en calle Mayor";"Alcantarilla";180000;1;2;1;"Ultimos_pisos";3;118;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";909;6.06
"Piso en venta en calle Mayor";"Alcantarilla";95000;1;1;0;"Primero";1;75;"Segunda mano/buen estado";1;1;0;0;1;1;"alcantarilla";"Alcantarilla";653;8.24842105263158
"Chalet adosado en venta en calle Valencia";"Alcantarilla";169000;0;3;1;"Muchas_plantas";3;246;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1127;8.00236686390533
"Piso en venta en calle Poeta Juan Ramón Jiménez";"Alcantarilla";105000;1;1;1;"Intermedios";3;93;"Segunda mano/buen estado";1;0;0;1;1;0;"alcantarilla";"Alcantarilla";775;8.85714285714286
"Piso en venta en calle Mayor";"Alcantarilla";134000;1;2;1;"Intermedios";4;122;"Segunda mano/buen estado";0;1;1;1;1;0;"alcantarilla";"Alcantarilla";939;8.4089552238806
"Casa o chalet independiente en venta en Alcantarilla";"alcantarilla";245000;0;2;1;"Muchas_plantas";4;302;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1179;5.77469387755102
"Casa o chalet independiente en venta en calle Cristóbal Colón";"Alcantarilla";149990;0;1;1;"Primero";3;129;"Segunda mano/buen estado";0;1;0;1;1;0;"alcantarilla";"Alcantarilla";785;6.28041869457964
"Dúplex en venta en calle Fernando Ortuno Alburquerqu";"Alcantarilla";123000;0;3;0;"Bajo";4;133;"Segunda mano/buen estado";0;1;1;1;1;0;"alcantarilla";"Alcantarilla";1057;10.3121951219512
"Ático en venta en calle Ángel Cano Marín, 1";"Alcantarilla";205000;1;2;1;"Intermedios";3;121;"Segunda mano/buen estado";0;1;1;1;1;1;"alcantarilla";"Alcantarilla";862;5.04585365853659
"Piso en venta en Alcantarilla";"alcantarilla";95000;1;2;0;"Intermedios";3;102;"Segunda mano/buen estado";1;0;0;1;1;1;"alcantarilla";"Alcantarilla";875;11.0526315789474
"Piso en venta en Alcantarilla";"alcantarilla";115000;1;2;1;"Primero";3;138;"Segunda mano/buen estado";1;1;0;1;1;1;"alcantarilla";"Alcantarilla";856;8.93217391304348
"Piso en venta en calle San Mateo";"Alcantarilla";119900;0;2;1;"Bajo";4;192;"Segunda mano/buen estado";0;1;0;0;0;1;"alcantarilla";"Alcantarilla";948;9.48790658882402
"Piso en venta en Alcantarilla";"alcantarilla";116500;1;2;1;"Intermedios";3;97;"Segunda mano/buen estado";1;0;0;1;0;1;"alcantarilla";"Alcantarilla";809;8.33304721030043
"Piso en venta en calle Cura Lorenzo Pastor Puertas, 20";"Alcantarilla";126000;1;2;0;"Intermedios";3;110;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";878;8.36190476190476
"Piso en venta en Alfonso X El Sabio, 29";"Alcantarilla";65000;0;1;0;"Otro";2;85;"Segunda mano/buen estado";0;0;0;0;1;1;"alcantarilla";"Alcantarilla";743;13.7169230769231
"Casa o chalet independiente en venta en Alcantarilla";"alcantarilla";640000;0;4;0;"Muchas_plantas";6;572;"Segunda mano/buen estado";0;1;0;1;1;0;"alcantarilla";"Alcantarilla";1757;3.294375
"Chalet pareado en venta en chile";"Alcantarilla";45300;0;1;0;"Muchas_plantas";2;89;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";709;18.7814569536424
"Piso en venta en calle San Antonio";"Alcantarilla";72000;0;1;0;"Bajo";2;71;"Segunda mano/buen estado";0;0;0;0;1;0;"alcantarilla";"Alcantarilla";723;12.05
"Piso en venta en Alcantarilla";"alcantarilla";93500;1;2;1;"Primero";3;136;"Segunda mano/para reformar";1;0;0;1;1;1;"alcantarilla";"Alcantarilla";799;10.2545454545455
"Piso en venta en Alcantarilla";"alcantarilla";69000;0;1;0;"Primero";3;85;"Segunda mano/buen estado";0;1;0;0;1;1;"alcantarilla";"Alcantarilla";757;13.1652173913043
"Piso en venta en Alcantarilla";"alcantarilla";63000;0;1;0;"Bajo";2;99;"Segunda mano/buen estado";0;1;0;0;1;0;"alcantarilla";"Alcantarilla";747;14.2285714285714
"Piso en venta en Alcantarilla";"alcantarilla";126000;1;2;1;"Intermedios";4;115;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";922;8.78095238095238
"Piso en venta en plaza de las Flores";"Alcantarilla";101000;1;2;1;"Intermedios";3;116;"Segunda mano/para reformar";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";777;9.23168316831683
"Piso en venta en calle Menorca";"Alcantarilla";125000;1;2;1;"Intermedios";3;110;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";871;8.3616
"Piso en venta en calle Valle s/n";"Alcantarilla";82000;1;2;1;"Primero";3;95;"Segunda mano/buen estado";1;1;0;1;1;0;"alcantarilla";"Alcantarilla";827;12.1024390243902
"Piso en venta en Alcantarilla";"alcantarilla";105000;1;2;1;"Intermedios";3;95;"Segunda mano/buen estado";1;0;0;1;1;1;"alcantarilla";"Alcantarilla";823;9.40571428571429
"Casa o chalet independiente en venta en Alcantarilla";"alcantarilla";54900;0;1;0;"Muchas_plantas";3;139;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";820;17.9234972677596
"Chalet pareado en venta en Alcantarilla";"alcantarilla";50000;0;1;1;"Muchas_plantas";4;90;"Segunda mano/para reformar";1;0;0;0;1;0;"alcantarilla";"Alcantarilla";802;19.248
"Chalet adosado en venta en Alcantarilla";"alcantarilla";156000;0;2;1;"Muchas_plantas";3;117;"Segunda mano/buen estado";0;0;1;1;1;0;"alcantarilla";"Alcantarilla";927;7.13076923076923
"Piso en venta en Alcantarilla";"alcantarilla";142000;1;2;0;"Intermedios";3;116;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";922;7.79154929577465
"Piso en venta en Alcantarilla";"alcantarilla";120000;1;2;1;"Intermedios";4;130;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";948;9.48
"Chalet pareado en venta en chile";"Alcantarilla";29700;0;1;0;"Primero";2;61;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";626;25.2929292929293
"Chalet pareado en venta en Alcantarilla";"alcantarilla";135000;0;1;1;"Muchas_plantas";6;228;"Segunda mano/para reformar";0;0;0;0;1;0;"alcantarilla";"Alcantarilla";1058;9.40444444444444
"Chalet pareado en venta en calle Moreno";"Alcantarilla";69000;0;1;0;"Muchas_plantas";3;128;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";808;14.0521739130435
"Piso en venta en calle Pepe de Santos";"Alcantarilla";93800;1;1;1;"Primero";2;95;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";716;9.15991471215352
"Piso en venta en calle Cura Lorenzo Pastor Puertas";"Alcantarilla";75000;0;2;1;"Otro";3;103;"Segunda mano/buen estado";1;1;0;0;1;0;"alcantarilla";"Alcantarilla";867;13.872
"Casa o chalet en venta en Alcantarilla";"alcantarilla";225000;0;3;0;"Muchas_plantas";8;270;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";1439;7.67466666666667
"Casa o chalet independiente en venta en plaza San Francisco";"Alcantarilla";220000;0;3;0;"Primero";6;208;"Segunda mano/para reformar";0;1;0;0;1;0;"alcantarilla";"Alcantarilla";1154;6.29454545454545
"Piso en venta en Alcantarilla";"alcantarilla";78000;1;1;0;"Primero";3;108;"Segunda mano/buen estado";1;0;1;0;1;0;"alcantarilla";"Alcantarilla";859;13.2153846153846
"Piso en venta en Alcantarilla";"alcantarilla";119000;0;2;0;"Primero";3;150;"Segunda mano/buen estado";1;0;1;0;1;1;"alcantarilla";"Alcantarilla";952;9.6
"Piso en venta en Alcantarilla";"alcantarilla";75000;1;1;1;"Intermedios";1;97;"Segunda mano/buen estado";1;0;0;0;1;0;"alcantarilla";"Alcantarilla";673;10.768
"Piso en venta en Alcantarilla";"alcantarilla";59000;1;1;0;"Bajo";2;98;"Segunda mano/buen estado";0;0;0;1;1;0;"alcantarilla";"Alcantarilla";755;15.3559322033898
"Casa o chalet independiente en venta en camino del Pino";"Alcantarilla";638000;0;3;1;"Muchas_plantas";6;400;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1468;2.76112852664577
"Piso en venta en plaza de las Flores";"Alcantarilla";94500;0;2;1;"Primero";3;103;"Segunda mano/buen estado";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";814;10.3365079365079
"Piso en venta en calle Doctor Fleming";"Alcantarilla";181500;0;2;0;"Otro";4;310;"Segunda mano/buen estado";0;0;0;0;0;1;"alcantarilla";"Alcantarilla";1163;7.68925619834711
"Chalet adosado en venta en Alcantarilla";"alcantarilla";170000;0;2;1;"Muchas_plantas";4;290;"Segunda mano/buen estado";1;1;0;1;0;1;"alcantarilla";"Alcantarilla";1118;7.89176470588235
"Casa o chalet independiente en venta en calle Estación, 30";"Alcantarilla";83000;0;1;0;"Primero";3;140;"Segunda mano/para reformar";0;1;0;0;1;0;"alcantarilla";"Alcantarilla";779;11.2626506024096
"Piso en venta en calle de Ramón y Cajal";"Alcantarilla";83100;1;2;1;"Intermedios";3;95;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";817;11.7978339350181
"Piso en venta en calle San Luis";"Alcantarilla";101000;1;2;1;"Intermedios";3;89;"Segunda mano/buen estado";1;0;0;1;1;0;"alcantarilla";"Alcantarilla";837;9.94455445544554
"Chalet pareado en venta en calle Manuel de Falla";"Alcantarilla";149900;0;3;0;"Muchas_plantas";4;217;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";1163;9.31020680453636
"Piso en venta en Juan Sebastian Elcano";"Alcantarilla";83000;0;1;0;"Primero";3;120;"Segunda mano/buen estado";1;1;1;0;0;0;"alcantarilla";"Alcantarilla";847;12.2457831325301
"Piso en venta en avenida Ejército del Aire";"Alcantarilla";165000;1;2;1;"Primero";3;120;"Segunda mano/buen estado";1;1;0;1;1;1;"alcantarilla";"Alcantarilla";835;6.07272727272727
"Piso en venta en calle de la Cruz";"Alcantarilla";185000;1;3;1;"Intermedios";3;184;"Segunda mano/buen estado";1;0;1;1;0;1;"alcantarilla";"Alcantarilla";1008;6.53837837837838
"Piso en venta en calle Mayor, 5";"Alcantarilla";180000;1;3;0;"Intermedios";5;240;"Segunda mano/buen estado";0;0;0;0;1;0;"alcantarilla";"Alcantarilla";1220;8.13333333333333
"Piso en venta en calle Ilusión";"Alcantarilla";85000;1;2;1;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";859;12.1270588235294
"Piso en venta en calle Mayor";"Alcantarilla";85000;1;2;0;"Primero";4;110;"Segunda mano/para reformar";1;0;1;0;0;0;"alcantarilla";"Alcantarilla";903;12.7482352941176
"Piso en venta en avenida del Príncipe";"Alcantarilla";82000;0;2;0;"Primero";4;121;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";871;12.7463414634146
"Piso en venta en calle Cura Francisco Lopez Hurtado";"Alcantarilla";60000;0;1;0;"Intermedios";3;86;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";781;15.62
"Piso en venta en Alcantarilla";"alcantarilla";205000;0;1;1;"Primero";1;55;"Segunda mano/buen estado";0;1;1;0;0;0;"alcantarilla";"Alcantarilla";607;3.55317073170732
"Casa o chalet independiente en venta en calle Jara Carrillo, 5";"Alcantarilla";110000;0;4;0;"Primero";9;292;"Segunda mano/para reformar";0;0;0;0;1;0;"alcantarilla";"Alcantarilla";1489;16.2436363636364
"Piso en venta en calle Mayor";"Alcantarilla";121000;1;2;0;"Intermedios";4;132;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";894;8.86611570247934
"Casa o chalet en venta en avenida San José Obrero";"Alcantarilla";34000;0;1;0;"Muchas_plantas";2;49;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";725;25.5882352941176
"Piso en venta en calle Cura Lorenzo Pastor Puertas s/n";"Alcantarilla";76900;0;2;1;"Otro";3;110;"Segunda mano/para reformar";1;0;0;0;1;0;"alcantarilla";"Alcantarilla";820;12.7958387516255
"Piso en venta en calle Moreno, 26";"Alcantarilla";90000;1;2;0;"Primero";4;112;"Segunda mano/para reformar";0;1;0;0;0;0;"alcantarilla";"Alcantarilla";854;11.3866666666667
"Piso en venta en calle de Pino s/n";"Alcantarilla";62000;1;1;0;"Intermedios";1;87;"Segunda mano/para reformar";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";612;11.8451612903226
"Piso en venta en Alcantarilla";"alcantarilla";67000;1;1;0;"Intermedios";4;82;"Segunda mano/para reformar";1;0;0;0;1;0;"alcantarilla";"Alcantarilla";797;14.2746268656716
"Piso en venta en Alcantarilla";"alcantarilla";77000;1;1;0;"Ultimos_pisos";3;82;"Segunda mano/para reformar";1;0;0;0;1;0;"alcantarilla";"Alcantarilla";781;12.1714285714286
"Casa de pueblo en venta en calle ramon y cajal, 48";"Alcantarilla";59000;0;1;0;"Primero";3;100;"Segunda mano/para reformar";0;1;0;1;0;0;"alcantarilla";"Alcantarilla";716;14.5627118644068
"Chalet pareado en venta en calle Santiago, 35";"Alcantarilla";335000;0;4;0;"Muchas_plantas";3;352;"Segunda mano/buen estado";1;1;1;1;0;1;"alcantarilla";"Alcantarilla";1345;4.81791044776119
"Piso en venta en Alcantarilla";"alcantarilla";199500;1;2;1;"Bajo";4;128;"Segunda mano/buen estado";1;1;0;1;1;1;"alcantarilla";"Alcantarilla";903;5.43157894736842
"Piso en venta en calle Covadonga";"Alcantarilla";45000;0;1;0;"Intermedios";3;115;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";815;21.7333333333333
"Piso en venta en calle de Sierra Espuña";"Alcantarilla";58000;0;1;0;"Primero";3;124;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";817;16.9034482758621
"Casa o chalet independiente en venta en Alcantarilla";"alcantarilla";90000;0;1;0;"Primero";2;71;"Segunda mano/buen estado";0;1;0;0;1;1;"alcantarilla";"Alcantarilla";687;9.16
"Piso en venta en calle Mayor";"Alcantarilla";42000;0;1;0;"Primero";3;93;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";780;22.2857142857143
"Piso en venta en calle San Sebastián";"Alcantarilla";58000;1;2;0;"Primero";2;99;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";803;16.6137931034483
"Piso en venta en carretera Nacional N-340";"Alcantarilla";58400;0;1;0;"Intermedios";2;65;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";703;14.4452054794521
"Chalet adosado en venta en calle Progreso";"Alcantarilla";145000;0;2;1;"Muchas_plantas";4;200;"Segunda mano/buen estado";1;0;0;0;1;1;"alcantarilla";"Alcantarilla";1039;8.59862068965517
"Piso en venta en calle San Luis";"Alcantarilla";142000;1;2;1;"Intermedios";4;105;"Segunda mano/buen estado";1;1;1;1;1;0;"alcantarilla";"Alcantarilla";932;7.87605633802817
"Piso en venta en avenida de Murcia, 90";"Alcantarilla";123000;1;2;1;"Intermedios";3;105;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";865;8.4390243902439
"Piso en venta en calle José Caride";"Alcantarilla";54000;0;2;0;"Intermedios";3;117;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";884;19.6444444444444
"Ático en venta en calle Ángel Cano Marín";"Alcantarilla";220000;1;2;0;"Intermedios";3;120;"Segunda mano/buen estado";0;1;0;1;1;1;"alcantarilla";"Alcantarilla";874;4.76727272727273
"Piso en venta en calle Rosario";"Alcantarilla";75000;0;2;0;"Intermedios";4;134;"Segunda mano/buen estado";1;1;1;0;1;0;"alcantarilla";"Alcantarilla";1009;16.144
"Casa o chalet independiente en venta en calle Nuestra Señora de la Salud, 32";"Alcantarilla";450000;0;3;1;"Primero";7;637;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1747;4.65866666666667
"Piso en venta en calle Pedro Nogueroles Roche";"Alcantarilla";80000;1;2;0;"Intermedios";4;134;"Segunda mano/para reformar";1;1;1;1;0;1;"alcantarilla";"Alcantarilla";908;13.62
"Piso en venta en calle estación de lorca, 9";"Alcantarilla";160000;1;2;1;"Intermedios";3;127;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";882;6.615
"Piso en venta en calle Moreno";"Alcantarilla";90000;1;2;0;"Primero";4;131;"Segunda mano/para reformar";1;0;1;0;1;0;"alcantarilla";"Alcantarilla";944;12.5866666666667
"Chalet adosado en venta en calle de Don Jose Doval Amarelle";"Alcantarilla";115000;0;3;1;"Muchas_plantas";4;240;"Segunda mano/para reformar";0;1;1;1;1;0;"alcantarilla";"Alcantarilla";1119;11.6765217391304
"Piso en venta en calle Mayor";"Alcantarilla";89000;1;1;0;"Primero";2;100;"Segunda mano/buen estado";1;0;1;0;1;1;"alcantarilla";"Alcantarilla";775;10.4494382022472
"Piso en venta en calle Rosario";"Alcantarilla";52000;1;1;0;"Intermedios";4;93;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";845;19.5
"Piso en venta en calle Palmera";"Alcantarilla";184000;1;1;0;"Primero";1;68;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";646;4.21304347826087
"Piso en venta en calle Ruiz Carrillo";"Alcantarilla";105000;1;2;1;"Primero";2;75;"Segunda mano/buen estado";1;0;0;1;1;1;"alcantarilla";"Alcantarilla";737;8.42285714285714
"Piso en venta en calle Trinidad";"Alcantarilla";149900;1;2;1;"Intermedios";3;105;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";865;6.92461641094063
"Piso en venta en calle Mayor";"Alcantarilla";99000;1;2;0;"Intermedios";3;112;"Segunda mano/buen estado";1;0;1;0;0;1;"alcantarilla";"Alcantarilla";902;10.9333333333333
"Piso en venta en calle Pintor Sorolla";"Alcantarilla";49000;0;1;0;"Primero";2;70;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";700;17.1428571428571
"Piso en venta en calle Cura Lorenzo Pastor Puertas";"Alcantarilla";179900;0;2;0;"Bajo";3;195;"Segunda mano/buen estado";1;0;0;0;1;1;"alcantarilla";"Alcantarilla";979;6.53029460811562
"Piso en venta en calle Pepe de Santos";"Alcantarilla";42000;0;1;0;"Intermedios";3;104;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";802;22.9142857142857
"Casa o chalet independiente en venta en calle Juan de Austria";"Alcantarilla";210000;0;2;1;"Muchas_plantas";3;240;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1053;6.01714285714286
"Piso en venta en calle mayor";"Alcantarilla";72000;1;1;0;"Ultimos_pisos";2;80;"Segunda mano/buen estado";0;0;0;1;1;1;"alcantarilla";"Alcantarilla";752;12.5333333333333
"Chalet pareado en venta en calle Terminacion";"Alcantarilla";68000;0;4;0;"Muchas_plantas";4;176;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";1182;20.8588235294118
"Piso en venta en calle Val";"Alcantarilla";85000;1;1;0;"Ultimos_pisos";2;86;"Segunda mano/para reformar";0;0;1;0;1;0;"alcantarilla";"Alcantarilla";749;10.5741176470588
"Piso en venta en travesía Miguel Ballesta";"Alcantarilla";96000;0;2;0;"Intermedios";4;152;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";979;12.2375
"Piso en venta en Alcantarilla";"alcantarilla";94500;1;2;1;"Bajo";3;103;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";860;10.9206349206349
"Piso en venta en Alcantarilla";"alcantarilla";66000;1;1;0;"Intermedios";3;96;"Segunda mano/buen estado";0;1;0;0;0;0;"alcantarilla";"Alcantarilla";786;14.2909090909091
"Piso en venta en avenida de Murcia";"Alcantarilla";123700;1;2;1;"Primero";3;106;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";858;8.32336297493937
"Piso en venta en Alcantarilla";"alcantarilla";52000;0;1;0;"Bajo";2;86;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";724;16.7076923076923
"Ático en venta en Alcantarilla";"alcantarilla";360000;1;2;1;"Intermedios";4;250;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1079;3.59666666666667
"Piso en venta en calle Médico Alfonso Pacheco, 11";"Alcantarilla";136500;1;2;0;"Bajo";3;157;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";929;8.16703296703297
"Piso en venta en Alcantarilla";"alcantarilla";101000;1;2;1;"Bajo";3;89;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";843;10.0158415841584
"Chalet pareado en venta en Alcantarilla";"alcantarilla";150000;0;1;1;"Muchas_plantas";3;136;"Segunda mano/buen estado";0;1;1;0;1;1;"alcantarilla";"Alcantarilla";853;6.824
"Piso en venta en calle Ánimas";"Alcantarilla";49000;0;1;0;"Intermedios";2;86;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";664;16.2612244897959
"Piso en venta en calle de la cruz, 61";"Alcantarilla";83100;1;2;1;"Intermedios";3;9;"Segunda mano/para reformar";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";653;9.42960288808664
"Piso en venta en calle Trinidad";"Alcantarilla";134800;1;2;1;"Bajo";3;129;"Segunda mano/buen estado";1;0;1;1;1;1;"alcantarilla";"Alcantarilla";890;7.92284866468843
"Piso en venta en calle San Sebastian, 70";"Alcantarilla";58000;1;1;0;"Primero";3;99;"Segunda mano/buen estado";0;0;0;0;0;0;"alcantarilla";"Alcantarilla";789;16.3241379310345
"Piso en venta en calle compositor Albeniz";"Alcantarilla";66500;0;1;0;"Intermedios";3;89;"Segunda mano/buen estado";0;0;1;0;0;1;"alcantarilla";"Alcantarilla";794;14.3278195488722
"Chalet pareado en venta en Valencia, 8";"Alcantarilla";175000;0;3;1;"Muchas_plantas";3;250;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";1132;7.76228571428571
"Piso en venta en Del Pino, 1";"Alcantarilla";62000;1;1;0;"Intermedios";1;63;"Segunda mano/buen estado";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";647;12.5225806451613
"Piso en venta en calle Alfonso X el Sabio";"Alcantarilla";92000;0;1;1;"Intermedios";1;123;"Segunda mano/buen estado";0;0;0;1;0;0;"alcantarilla";"Alcantarilla";672;8.76521739130435
"Piso en venta en Alcantarilla";"alcantarilla";360000;1;2;0;"Intermedios";4;245;"Segunda mano/buen estado";0;1;1;0;0;1;"alcantarilla";"Alcantarilla";1089;3.63
"Piso en venta en calle guernica, 6";"Alcantarilla";75000;1;1;0;"Intermedios";2;80;"Segunda mano/buen estado";1;0;1;1;0;1;"alcantarilla";"Alcantarilla";743;11.888
"Piso en venta en calle Brasil, 2";"Alcantarilla";129900;1;2;1;"Intermedios";3;135;"Segunda mano/buen estado";1;0;1;1;0;1;"alcantarilla";"Alcantarilla";884;8.16628175519631
"Piso en venta en camino de los Romanos, 17";"Alcantarilla";64000;0;1;1;"Intermedios";3;119;"Segunda mano/buen estado";0;0;1;0;0;0;"alcantarilla";"Alcantarilla";806;15.1125
"Piso en venta en calle cruz, 29";"Alcantarilla";85000;0;1;1;"Primero";4;87;"Segunda mano/buen estado";1;1;0;0;0;0;"alcantarilla";"Alcantarilla";788;11.1247058823529
"Ático en venta en calle Poeta Juan Ramón Jiménez";"Alcantarilla";246000;1;2;1;"Intermedios";3;174;"Segunda mano/buen estado";1;1;1;1;1;1;"alcantarilla";"Alcantarilla";937;4.57073170731707
"Piso en venta en calle San Antonio, 45";"Alcantarilla";100000;1;1;1;"Intermedios";2;80;"Segunda mano/buen estado";1;1;0;1;0;0;"alcantarilla";"Alcantarilla";681;8.172
"Piso en venta en calle Término";"Alcantarilla";230000;1;3;1;"Primero";4;258;"Segunda mano/buen estado";1;1;1;1;0;1;"alcantarilla";"Alcantarilla";1131;5.90086956521739
