"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Casa o chalet independiente en venta en Torrealta-Ribera de Molina";"Molina de Segura";399000;0;4;1;"Muchas_plantas";5;428;"Segunda mano/buen estado";1;1;1;1;1;1;"torrealta-ribera de molina";NA;1514;4.55338345864662
"Casa o chalet independiente en venta en Las Torres de Cotillas";"las torres de cotillas";215873;0;3;1;"Muchas_plantas";4;331;"Segunda mano/buen estado";1;1;0;1;1;1;"las torres de cotillas";"Las Torres de Cotillas";1249;6.94297109874787
"Chalet adosado en venta en calle Royal Golf";"Altorreal-El Chorrico";240000;0;3;1;"Muchas_plantas";3;188;"Segunda mano/buen estado";1;1;0;1;1;1;"altorreal-el chorrico";NA;1029;5.145
"Piso en venta en calle Vallesol, 1";"Altorreal-El Chorrico";168000;1;2;0;"Primero";2;111;"Segunda mano/buen estado";1;1;0;1;1;1;"altorreal-el chorrico";NA;814;5.81428571428571
"Dúplex en venta en Los Vientos-Casa Ros";"Molina de Segura";164000;0;3;0;"Primero";4;242;"Segunda mano/buen estado";0;0;1;1;1;1;"los vientos-casa ros";NA;1166;8.53170731707317
"Casa o chalet independiente en venta en Alguazas";"alguazas";139000;0;2;1;"Muchas_plantas";4;336;"Segunda mano/buen estado";1;1;0;1;1;1;"alguazas";"Alguazas";1188;10.2561151079137
"Piso en venta en El Castillo-San Roque-El Carmen";"el carmen";95000;1;2;0;"Ultimos_pisos";5;196;"Segunda mano/para reformar";1;0;1;0;1;0;"el carmen";NA;1119;14.1347368421053
"Casa o chalet independiente en venta en Alguazas";"alguazas";250000;0;3;0;"Primero";3;310;"Segunda mano/buen estado";1;0;0;1;1;1;"alguazas";"Alguazas";1173;5.6304
"Dúplex en venta en Las Torres de Cotillas";"las torres de cotillas";159900;0;3;0;"Bajo";4;200;"Segunda mano/buen estado";1;1;1;1;1;1;"las torres de cotillas";"Las Torres de Cotillas";1127;8.4577861163227
"Casa o chalet independiente en venta en calle pinares";"Altorreal-El Chorrico";219000;0;4;1;"Muchas_plantas";5;401;"Segunda mano/para reformar";0;1;0;1;0;0;"altorreal-el chorrico";NA;1381;7.56712328767123
"Casa o chalet independiente en venta en ronda de las Pléyades";"La Alcayna";960000;0;4;1;"Muchas_plantas";4;714;"Segunda mano/buen estado";1;1;0;1;1;0;"la alcayna";NA;1784;2.23
"Piso en venta en plaza Doctor Sánchez Cañas, 3";"Alguazas";54000;0;1;0;"Intermedios";2;87;"Segunda mano/buen estado";0;0;0;0;0;0;"alguazas";"Alguazas";728;16.1777777777778
"Casa o chalet independiente en venta en Poeta José Martínez Monroy, 54";"La Quinta";399000;0;3;0;"Primero";4;160;"Segunda mano/buen estado";1;0;0;1;1;1;"la quinta";NA;1053;3.16691729323308
"Piso en venta en avenida del Montañal";"El Llano";300000;0;2;0;"Bajo";5;304;"Segunda mano/para reformar";0;0;0;0;0;0;"el llano";NA;1143;4.572
"Piso en venta en Altorreal-El Chorrico";"Romeral";235000;1;2;1;"Otro";4;150;"Segunda mano/buen estado";1;1;1;0;1;1;"altorreal-el chorrico";NA;986;5.03489361702128
